sampleid	name	group
saliva01	Oral01	dada
saliva02	Oral02	dada
saliva03	Oral03	dada
saliva04	Oral04	dada
saliva05	Oral05	dada
saliva06	Oral06	dada
saliva07	Oral07	dada
saliva08	Oral08	dada
saliva09	Oral09	dada
saliva10	Oral10	dada
saliva11	Oral11	dada
saliva12	Oral12	dada
saliva13	Oral13	dada
saliva14	Oral14	dada
saliva15	Oral15	dada
saliva16	Oral16	dada
saliva17	Oral17	dada
saliva18	Oral18	dada
saliva19	Oral19	dada
saliva20	Oral20	dada
